2024-07-26 19:17:10.186 [main] INFO  com.leuan.lepton.LeptonApplicationKt - The following 1 profile is active: "dev"
2024-07-26 19:17:10.686 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-26 19:17:10.719 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 2 JPA repository interfaces.
2024-07-26 19:17:10.936 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5555 (http)
2024-07-26 19:17:10.941 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5555"]
2024-07-26 19:17:10.942 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-26 19:17:10.942 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-07-26 19:17:10.968 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-26 19:17:10.968 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 765 ms
2024-07-26 19:17:11.042 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-26 19:17:11.070 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-07-26 19:17:11.094 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-07-26 19:17:11.283 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-26 19:17:11.295 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-07-26 19:17:11.458 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@47772462
2024-07-26 19:17:11.459 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-07-26 19:17:11.954 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-26 19:17:12.022 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-26 19:17:12.514 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5555"]
2024-07-26 19:17:12.520 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5555 (http) with context path '/'
2024-07-26 19:17:12.526 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Started LeptonApplicationKt in 2.542 seconds (process running for 2.865)
2024-07-26 19:17:16.747 [http-nio-5555-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-26 19:17:16.747 [http-nio-5555-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-26 19:17:16.748 [http-nio-5555-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-07-26 19:18:23.638 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Starting LeptonApplicationKt using Java 17.0.10 with PID 5267 (/Users/yangyang/Projects/lepton/lepton-application/build/classes/kotlin/main started by yangyang in /Users/yangyang/Projects/lepton)
2024-07-26 19:18:23.639 [main] INFO  com.leuan.lepton.LeptonApplicationKt - The following 1 profile is active: "dev"
2024-07-26 19:18:24.141 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
